3826938.206	460938.202	5064630.436
3826896.631	460979.131	5064657.943
3826979.78	460897.273	5064602.929
3826601.357	460953.078	5064880.876
3826565.99	460957.786	5064906.998
3826471.744	460999.814	5064973.941
3826518.208	461034.934	5064935.89
3826586.022	460865.52	5064900.301
3826579.882	460917.156	5064900.242
3826701.556	460988.926	5064802.425
3826631.59	461021.491	5064851.999
3826654.179	461136.116	5064824.683
3826612.895	461079.974	5064860.746
3826479.111	461083.396	5064960.857
3826538.417	461169.407	5064908.567
3826643.587	461290.469	5064818.809
3826637.817	461227.021	5064828.874
3826649.357	461353.917	5064808.743
3826360.925	460814.872	5065074.083
3826319.35	460855.801	5065101.59
3826402.499	460773.943	5065046.576
3826452.835	461529.655	5064940.251
3826405.491	461507.136	5064977.823
3826500.179	461552.174	5064902.678
3826416.554	460510.252	5065059.927
3826463.898	460532.77	5065022.354
3826369.209	460487.733	5065097.499
3827171.245	461381.055	5064416.102
3827218.589	461403.574	5064378.53
3827123.9	461358.537	5064453.675
3826377.049	461846.443	5064968.446
3826418.623	461805.513	5064940.939
3826335.474	461887.372	5064995.953
3825615.105	461283.354	5065591.272
3825573.53	461324.283	5065618.779
3825656.679	461242.425	5065563.765
3826000.399	460363.979	5065384.861
3826041.973	460323.05	5065357.354
3825958.824	460404.909	5065412.368
3826430.777	460301.538	5065068.018
3826383.433	460279.019	5065105.59
3826478.121	460324.057	5065030.445
3826906.233	460410.671	5064702.239
3826864.658	460451.6	5064729.746
3826947.807	460369.742	5064674.732
3825852.977	461676.097	5065376.53
3825900.321	461698.615	5065338.957
3825805.632	461653.578	5065414.102
3826290.412	462799.679	5064946.867
3826331.986	462758.75	5064919.36
3826248.837	462840.609	5064974.374
3826685.447	461918.367	5064731.055
3826679.677	461854.919	5064741.12
3826691.217	461981.815	5064720.989
3827437.139	460987.076	5064252.208
3827442.908	461050.523	5064242.143
3827431.369	460923.628	5064262.273
3827932.048	459769.23	5064002.547
3827973.622	459728.3	5063975.04
3827890.473	459810.159	5064030.053
3826790.378	460095.12	5064818.736
3826796.148	460158.57	5064808.669
3826784.607	460031.669	5064828.802
3825616.56	460669.815	5065645.196
3825569.216	460647.296	5065682.768
3825663.904	460692.334	5065607.623
